ANO_ELEICAO,NR_TURNO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS,ST_VOTO_EM_TRANSITO,DS_SIT_TOT_TURNO,TOTAL_VOTOS
2020,1,SALVADOR,11,11,Prefeito,50000674223,BRUNO SOARES REIS,BRUNO REIS,APTO,DEM,Democratas,50156,N,ELEITO,779408
2020,1,SALVADOR,15,11,Prefeito,50000913695,DENICE SANTIAGO SANTOS DO ROSARIO,MAJOR DENICE,APTO,PT,Partido dos Trabalhadores,11314,N,NÃO ELEITO,228942
2020,1,SALVADOR,8,11,Prefeito,50000758814,MANOEL ISIDÓRIO DE SANTANA JÚNIOR,PASTOR SARGENTO ISIDÓRIO,APTO,AVANTE,AVANTE,5052,N,NÃO ELEITO,64728
2020,1,SALVADOR,17,11,Prefeito,50000637129,CEZAR FERREIRA LEITE,CEZAR LEITE,APTO,PRTB,Partido Renovador Trabalhista Brasileiro,1751,N,NÃO ELEITO,56494
2020,1,SALVADOR,8,11,Prefeito,50001035783,MARIA OLIVIA SANTANA,OLIVIA,APTO,PC do B,Partido Comunista do Brasil,1776,N,NÃO ELEITO,54496
2020,1,SALVADOR,13,13,Vereador,50000758379,LUIZ CARLOS DE SOUZA,LUIZ CARLOS,APTO,REPUBLICANOS,REPUBLICANOS,1202,N,ELEITO POR QP,17035
2020,1,SALVADOR,14,11,Prefeito,50000984756,HILTON BARROS COELHO,HILTON COELHO,APTO,PSOL,Partido Socialismo e Liberdade,672,N,NÃO ELEITO,16868
2020,1,SALVADOR,3,13,Vereador,50000721040,GERALDO ALVES FERREIRA JÚNIOR,GERALDO JÚNIOR,APTO,MDB,Movimento Democrático Brasileiro,637,N,ELEITO POR QP,12906
2020,1,SALVADOR,10,13,Vereador,50000759354,ISNARD PIMENTA DE ARAÚJO,ISNARD ARAUJO,APTO,PL,Partido Liberal,129,N,ELEITO POR QP,12799
2020,1,SALVADOR,11,13,Vereador,50000758380,IREUDA DE JESUS SILVA,IREUDA SILVA,APTO,REPUBLICANOS,REPUBLICANOS,1123,N,ELEITO POR QP,12098
2020,1,SALVADOR,8,11,Prefeito,50001261068,JOÃO CARLOS BACELAR BATISTA,BACELAR,APTO,PODE,Podemos,406,N,NÃO ELEITO,11140
2020,1,SALVADOR,7,13,Vereador,50000816235,EDUARDO HENRIQUE BRITO DOS  SANTOS SANCHES,DUDA SANCHES,APTO,DEM,Democratas,119,N,ELEITO POR QP,10436
2020,1,SALVADOR,16,13,Vereador,50000816248,ALEXANDRE ALELUIA DANTAS DA COSTA,ALEXANDRE ALELUIA,APTO,DEM,Democratas,189,N,ELEITO POR QP,10154
2020,1,SALVADOR,6,13,Vereador,50000673812,RICARDO CARDOSO DE ALMEIDA,RICARDO ALMEIDA,APTO,PSC,Partido Social Cristão,580,N,ELEITO POR QP,10026
2020,1,SALVADOR,10,13,Vereador,50000665895,EMERSON PENALVA LOPES DOS SANTOS,EMERSON PENALVA,APTO,PODE,Podemos,756,N,ELEITO POR QP,9129
2020,1,SALVADOR,15,13,Vereador,50000816182,CARLOS DA SILVA MUNIZ,CARLOS MUNIZ,APTO,PTB,Partido Trabalhista Brasileiro,294,N,ELEITO POR QP,9118
2020,1,SALVADOR,6,13,Vereador,50000758339,JULIO CESAR DOS SANTOS,JULIO SANTOS,APTO,REPUBLICANOS,REPUBLICANOS,1456,N,ELEITO POR QP,8810
2020,1,SALVADOR,8,13,Vereador,50000721044,MAURÍCIO GONÇALVES TRINDADE,MAURÍCIO TRINDADE,APTO,MDB,Movimento Democrático Brasileiro,715,N,ELEITO POR MÉDIA,8738
2020,1,SALVADOR,11,13,Vereador,50000816236,MARCELLE CARVALHO DE MORAES,MARCELLE MORAES,APTO,DEM,Democratas,595,N,ELEITO POR QP,8673
2020,1,SALVADOR,15,13,Vereador,50001037251,HÉLIO FERREIRA DOS SANTOS,HÉLIO FERREIRA,APTO,PC do B,Partido Comunista do Brasil,296,N,ELEITO POR QP,8638
2020,1,SALVADOR,18,13,Vereador,50000816247,PAULO SERGIO PARANHOS DE MAGALHÃES JÚNIOR,PAULO MAGALHÃES JÚNIOR,APTO,DEM,Democratas,311,N,ELEITO POR QP,8536
2020,1,SALVADOR,17,13,Vereador,50000633867,DANIEL SILVA RIOS,DANIEL RIOS,APTO,PATRIOTA,Patriota,416,N,ELEITO POR QP,8089
2020,1,SALVADOR,7,13,Vereador,50000642713,DEBORA SANTOS DE SANTANA,DEBORA SANTANA,APTO,AVANTE,AVANTE,464,N,ELEITO POR QP,7586
2020,1,SALVADOR,2,13,Vereador,50000758384,ALBERTO VIANA BRAGA NETO,ALBERTO BRAGA,APTO,REPUBLICANOS,REPUBLICANOS,299,N,SUPLENTE,7516
2020,1,SALVADOR,2,13,Vereador,50001070207,MARTA RODRIGUES SOUSA DE BRITO COSTA,MARTA RODRIGUES,APTO,PT,Partido dos Trabalhadores,399,N,ELEITO POR QP,7271
2020,1,SALVADOR,16,13,Vereador,50000665824,CRISTIANE CORREIA DE ANDRADE,CRIS CORREIA,APTO,PSDB,Partido da Social Democracia Brasileira,149,N,ELEITO POR QP,7166
2020,1,SALVADOR,1,13,Vereador,50000633901,ROBERTA NUNES CAIRES,ROBERTA CAIRES,APTO,PATRIOTA,Patriota,214,N,ELEITO POR QP,7090
2020,1,SALVADOR,6,13,Vereador,50000816285,CLISTENES BISPO,KIKI BISPO,APTO,DEM,Democratas,87,N,ELEITO POR QP,7045
2020,1,SALVADOR,3,13,Vereador,50000816277,CLAUDIO TINOCO MELO DE OLIVEIRA,CLAUDIO TINOCO,APTO,DEM,Democratas,265,N,ELEITO POR MÉDIA,7039
2020,1,SALVADOR,15,13,Vereador,50000816264,CATIA MARIA ARAÚJO RODRIGUES PENHA,CATIA RODRIGUES,APTO,DEM,Democratas,646,N,ELEITO POR MÉDIA,7010
2020,1,SALVADOR,17,13,Vereador,50000665919,SIDNEY CARLOS MANGABEIRA CAMPOS FILHO,SIDNINHO,APTO,PODE,Podemos,56,N,ELEITO POR QP,6997
2020,1,SALVADOR,10,13,Vereador,50000816239,ORLANDO PEREIRA PALHINHA,PALHINHA,APTO,DEM,Democratas,168,N,SUPLENTE,6822
2020,1,SALVADOR,1,13,Vereador,50000816253,FELIPE LUCAS DE LIMA E SILVA,FELIPE LUCAS,APTO,DEM,Democratas,305,N,SUPLENTE,6817
2020,1,SALVADOR,17,13,Vereador,50000633869,SANDRO LUIZ RAMOS BAHIENSE,SANDRO BAHIENSE,APTO,PATRIOTA,Patriota,206,N,ELEITO POR MÉDIA,6798
2020,1,SALVADOR,11,13,Vereador,50000665798,THEOFILO VIRGILIO DE SENNA,TÉO SENNA,APTO,PSDB,Partido da Social Democracia Brasileira,278,N,ELEITO POR QP,6751
2020,1,SALVADOR,12,13,Vereador,50000816289,EVERALDO LOPES DOS SANTOS,BECA,APTO,DEM,Democratas,182,N,SUPLENTE,6395
2020,1,SALVADOR,1,13,Vereador,50000758369,CLEMILSON GOMES DE AZEVEDO,KEL TORRES,APTO,REPUBLICANOS,REPUBLICANOS,55,N,SUPLENTE,6346
2020,1,SALVADOR,9,13,Vereador,50001037310,AUGUSTO SERGIO VASCONCELOS DE OLIVEIRA,AUGUSTO VASCONCELOS,APTO,PC do B,Partido Comunista do Brasil,174,N,ELEITO POR MÉDIA,6041
2020,1,SALVADOR,18,13,Vereador,50000634394,PRISCILA CHAMMAS DÁU,PRISCILA CHAMMAS,APTO,NOVO,Partido Novo,81,N,NÃO ELEITO,5735
2020,1,SALVADOR,8,13,Vereador,50000759222,JOCEVAL RODRIGUES DOS SANTOS,JOCEVAL RODRIGUES,APTO,CIDADANIA,Cidadania,300,N,ELEITO POR MÉDIA,5723
2020,1,SALVADOR,19,13,Vereador,50000952011,FABIO CARDOSO SOUZA,FABIO SOUZA,APTO,SOLIDARIEDADE,Solidariedade,1104,N,ELEITO POR MÉDIA,5682
